Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*25/*43,,Indeterminate,none
*25/*43x2,,Indeterminate,none
*25/*44,,Indeterminate,none
*25/*45,,Indeterminate,none
*25/*45x2,,Indeterminate,none
*25/*46,,Indeterminate,none
*25/*47,,Indeterminate,none
*25/*48,,Indeterminate,none
*25/*49,,Indeterminate,none
*25/*50,,Indeterminate,none
*25/*51,,Indeterminate,none
*25/*52,,Indeterminate,none
*25/*53,,Indeterminate,none
*25/*54,,Indeterminate,none
*25/*55,,Indeterminate,none
*25/*56,,Indeterminate,none
*25/*58,,Indeterminate,none
*25/*59,,Indeterminate,none
*25/*60,,Indeterminate,none
*25/*61,,Indeterminate,none
*25/*62,,Indeterminate,none
*25/*63,,Indeterminate,none
*25/*64,,Indeterminate,none
*25/*65,,Indeterminate,none
*25/*68,,Indeterminate,none
*25/*68+*2,,Indeterminate,none
*25/*68+*4,,Indeterminate,none
*25/*69,,Indeterminate,none
*25/*70,,Indeterminate,none
*25/*71,,Indeterminate,none
*25/*72,,Indeterminate,none
*25/*73,,Indeterminate,none
*25/*74,,Indeterminate,none
*25/*75,,Indeterminate,none
*25/*81,,Indeterminate,none
*25/*82,,Indeterminate,none
*25/*83,,Indeterminate,none
*25/*84,,Indeterminate,none
*25/*85,,Indeterminate,none
*25/*86,,Indeterminate,none
*25/*87,,Indeterminate,none
*25/*88,,Indeterminate,none
*25/*89,,Indeterminate,none
*25/*90,,Indeterminate,none
*25/*91,,Indeterminate,none
*25/*92,,Indeterminate,none
*25/*93,,Indeterminate,none
*25/*94,,Indeterminate,none
*25/*95,,Indeterminate,none
*25/*96,,Indeterminate,none
*25/*97,,Indeterminate,none
*25/*98,,Indeterminate,none
*25/*99,,Indeterminate,none
*25/*100,,Indeterminate,none
*25/*101,,Indeterminate,none
*25/*102,,Indeterminate,none
*25/*103,,Indeterminate,none
*25/*104,,Indeterminate,none
*25/*105,,Indeterminate,none
*25/*106,,Indeterminate,none
*25/*107,,Indeterminate,none
*25/*108,,Indeterminate,none
*25/*109,,Indeterminate,none
*25/*110,,Indeterminate,none
*25/*111,,Indeterminate,none
*25/*112,,Indeterminate,none
*25/*113,,Indeterminate,none
*25/*114,,Indeterminate,none
*25/*115,,Indeterminate,none
*25/*116,,Indeterminate,none
*25/*117,,Indeterminate,none
*25/*118,,Indeterminate,none
*25/*119,,Indeterminate,none
*25/*120,,Indeterminate,none
*25/*121,,Indeterminate,none
*25/*122,,Indeterminate,none
*25/*123,,Indeterminate,none
*25/*124,,Indeterminate,none
*25/*125,,Indeterminate,none
*25/*126,,Indeterminate,none
*25/*127,,Indeterminate,none
*25/*128,,Indeterminate,none
*25/*129,,Indeterminate,none
*25/*130,,Indeterminate,none
*25/*131,,Indeterminate,none
*25/*132,,Indeterminate,none
*25/*133,,Indeterminate,none
*25/*134,,Indeterminate,none
*25/*135,,Indeterminate,none
*25/*136,,Indeterminate,none
*25/*137,,Indeterminate,none
*25/*138,,Indeterminate,none
*25/*139,,Indeterminate,none
*25/*140,,Indeterminate,none
*25/*141,,Indeterminate,none
*25/*142,,Indeterminate,none
*25/*143,,Indeterminate,none
*25/*144,,Indeterminate,none
*25/*145,,Indeterminate,none
*25/*146,,Indeterminate,none
*25/*146x2,,Indeterminate,none
*25/*147,,Indeterminate,none
*25/*148,,Indeterminate,none
*25/*149,,Indeterminate,none
*25/*152,,Indeterminate,none
*25/*153,,Indeterminate,none
*25/*154,,Indeterminate,none
*25/*155,,Indeterminate,none
*25/*156,,Indeterminate,none
*25/*157,,Indeterminate,none
*25/*158,,Indeterminate,none
*25/*159,,Indeterminate,none
*25/*160,,Indeterminate,none
*25/*161,,Indeterminate,none
*25/*162,,Indeterminate,none
*25/*163,,Indeterminate,none
*26/*26,,Indeterminate,none
*26/*27,,Indeterminate,none
*26/*27x2,,Indeterminate,none
*26/*28,,Indeterminate,none
*26/*28x2,,Indeterminate,none
*26/*29,,Indeterminate,none
*26/*29x2,,Indeterminate,none
*26/*30,,Indeterminate,none
*26/*31,,Indeterminate,none
*26/*32,,Indeterminate,none
*26/*33,,Indeterminate,none
*26/*34,,Indeterminate,none
*26/*35,,Indeterminate,none
*26/*35x2,,Indeterminate,none
*26/*36,,Indeterminate,none
*26/*36+*10,,Indeterminate,none
*26/*36+*10x2,,Indeterminate,none
*26/*36x2,,Indeterminate,none
*26/*36x2+*10,,Indeterminate,none
*26/*36x2+*10x2,,Indeterminate,none
*26/*37,,Indeterminate,none
*26/*38,,Indeterminate,none
*26/*39,,Indeterminate,none
*26/*40,,Indeterminate,none
*26/*41,,Indeterminate,none
*26/*41x2,,Indeterminate,none
*26/*41x3,,Indeterminate,none
*26/*42,,Indeterminate,none
*26/*43,,Indeterminate,none
*26/*43x2,,Indeterminate,none
*26/*44,,Indeterminate,none
*26/*45,,Indeterminate,none
*26/*45x2,,Indeterminate,none
*26/*46,,Indeterminate,none
*26/*47,,Indeterminate,none
*26/*48,,Indeterminate,none
*26/*49,,Indeterminate,none
*26/*50,,Indeterminate,none
*26/*51,,Indeterminate,none
*26/*52,,Indeterminate,none
*26/*53,,Indeterminate,none
*26/*54,,Indeterminate,none
*26/*55,,Indeterminate,none
*26/*56,,Indeterminate,none
*26/*58,,Indeterminate,none
*26/*59,,Indeterminate,none
*26/*60,,Indeterminate,none
*26/*61,,Indeterminate,none
*26/*62,,Indeterminate,none
*26/*63,,Indeterminate,none
*26/*64,,Indeterminate,none
*26/*65,,Indeterminate,none
*26/*68,,Indeterminate,none
*26/*68+*2,,Indeterminate,none
*26/*68+*4,,Indeterminate,none
*26/*69,,Indeterminate,none
*26/*70,,Indeterminate,none
*26/*71,,Indeterminate,none
*26/*72,,Indeterminate,none
*26/*73,,Indeterminate,none
*26/*74,,Indeterminate,none
*26/*75,,Indeterminate,none
*26/*81,,Indeterminate,none
*26/*82,,Indeterminate,none
*26/*83,,Indeterminate,none
*26/*84,,Indeterminate,none
*26/*85,,Indeterminate,none
*26/*86,,Indeterminate,none
*26/*87,,Indeterminate,none
*26/*88,,Indeterminate,none
*26/*89,,Indeterminate,none
*26/*90,,Indeterminate,none
*26/*91,,Indeterminate,none
*26/*92,,Indeterminate,none
*26/*93,,Indeterminate,none
*26/*94,,Indeterminate,none
*26/*95,,Indeterminate,none
*26/*96,,Indeterminate,none
*26/*97,,Indeterminate,none
*26/*98,,Indeterminate,none
*26/*99,,Indeterminate,none
*26/*100,,Indeterminate,none
*26/*101,,Indeterminate,none
*26/*102,,Indeterminate,none
*26/*103,,Indeterminate,none
*26/*104,,Indeterminate,none
*26/*105,,Indeterminate,none
*26/*106,,Indeterminate,none
*26/*107,,Indeterminate,none
*26/*108,,Indeterminate,none
*26/*109,,Indeterminate,none
*26/*110,,Indeterminate,none
*26/*111,,Indeterminate,none
*26/*112,,Indeterminate,none
*26/*113,,Indeterminate,none
*26/*114,,Indeterminate,none
*26/*115,,Indeterminate,none
*26/*116,,Indeterminate,none
*26/*117,,Indeterminate,none
*26/*118,,Indeterminate,none
*26/*119,,Indeterminate,none
*26/*120,,Indeterminate,none
*26/*121,,Indeterminate,none
*26/*122,,Indeterminate,none
*26/*123,,Indeterminate,none
*26/*124,,Indeterminate,none
*26/*125,,Indeterminate,none
*26/*126,,Indeterminate,none
*26/*127,,Indeterminate,none
*26/*128,,Indeterminate,none
*26/*129,,Indeterminate,none
*26/*130,,Indeterminate,none
*26/*131,,Indeterminate,none
*26/*132,,Indeterminate,none
*26/*133,,Indeterminate,none
*26/*134,,Indeterminate,none
*26/*135,,Indeterminate,none
*26/*136,,Indeterminate,none
*26/*137,,Indeterminate,none
*26/*138,,Indeterminate,none
*26/*139,,Indeterminate,none
*26/*140,,Indeterminate,none
*26/*141,,Indeterminate,none
*26/*142,,Indeterminate,none
*26/*143,,Indeterminate,none
*26/*144,,Indeterminate,none
*26/*145,,Indeterminate,none
*26/*146,,Indeterminate,none
*26/*146x2,,Indeterminate,none
*26/*147,,Indeterminate,none
*26/*148,,Indeterminate,none
*26/*149,,Indeterminate,none
*26/*152,,Indeterminate,none
*26/*153,,Indeterminate,none
*26/*154,,Indeterminate,none
*26/*155,,Indeterminate,none
*26/*156,,Indeterminate,none
*26/*157,,Indeterminate,none
*26/*158,,Indeterminate,none
*26/*159,,Indeterminate,none
*26/*160,,Indeterminate,none
*26/*161,,Indeterminate,none
*26/*162,,Indeterminate,none
*26/*163,,Indeterminate,none
*27/*27,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*27x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27/*28,,Indeterminate,none
*27/*28x2,,Indeterminate,none
*27/*29,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*29x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*30,,Indeterminate,none
*27/*31,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*32,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*33,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*34,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*35,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*35x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27/*36,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*36+*10,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*36+*10x2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*36x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*36x2+*10,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*36x2+*10x2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*37,,Indeterminate,none
*27/*38,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*39,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*40,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*41,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*41x2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*41x3,1.75,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*42,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*43,,Indeterminate,none
*27/*43x2,,Indeterminate,none
*27/*44,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*45,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*45x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27/*46,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*47,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*48,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*49,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*50,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*51,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*52,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*53,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*54,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*55,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*56,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*58,,Indeterminate,none
*27/*59,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*60,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*61,,Indeterminate,none
*27/*62,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*63,,Indeterminate,none
*27/*64,,Indeterminate,none
*27/*65,,Indeterminate,none
*27/*68,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*68+*2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*68+*4,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*69,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*70,,Indeterminate,none
*27/*71,,Indeterminate,none
*27/*72,,Indeterminate,none
*27/*73,,Indeterminate,none
*27/*74,,Indeterminate,none
*27/*75,,Indeterminate,none
*27/*81,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*82,,Indeterminate,none
*27/*83,,Indeterminate,none
*27/*84,,Indeterminate,none
*27/*85,,Indeterminate,none
*27/*86,,Indeterminate,none
*27/*87,,Indeterminate,none
*27/*88,,Indeterminate,none
*27/*89,,Indeterminate,none
*27/*90,,Indeterminate,none
*27/*91,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*92,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*93,,Indeterminate,none
*27/*94,,Indeterminate,none
*27/*95,,Indeterminate,none
*27/*96,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*97,,Indeterminate,none
*27/*98,,Indeterminate,none
*27/*99,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*100,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*101,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*102,,Indeterminate,none
*27/*103,,Indeterminate,none
*27/*104,,Indeterminate,none
*27/*105,,Indeterminate,none
*27/*106,,Indeterminate,none
*27/*107,,Indeterminate,none
*27/*108,,Indeterminate,none
*27/*109,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*110,,Indeterminate,none
*27/*111,,Indeterminate,none
*27/*112,,Indeterminate,none
*27/*113,,Indeterminate,none
*27/*114,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*115,,Indeterminate,none
*27/*116,,Indeterminate,none
*27/*117,,Indeterminate,none
*27/*118,,Indeterminate,none
*27/*119,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*120,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*121,,Indeterminate,none
*27/*122,,Indeterminate,none
*27/*123,,Indeterminate,none
*27/*124,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*125,,Indeterminate,none
*27/*126,,Indeterminate,none
*27/*127,,Indeterminate,none
*27/*128,,Indeterminate,none
*27/*129,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*130,,Indeterminate,none
*27/*131,,Indeterminate,none
*27/*132,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27/*133,,Indeterminate,none
*27/*134,,Indeterminate,none
*27/*135,,Indeterminate,none
*27/*136,,Indeterminate,none
*27/*137,,Indeterminate,none
*27/*138,,Indeterminate,none
*27/*139,,Indeterminate,none
*27/*140,,Indeterminate,none
*27/*141,,Indeterminate,none
*27/*142,,Indeterminate,none
*27/*143,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*144,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*145,,Indeterminate,none
*27/*146,,Indeterminate,none
*27/*146x2,,Indeterminate,none
*27/*147,,Indeterminate,none
*27/*148,,Indeterminate,none
*27/*149,,Indeterminate,none
*27/*152,,Indeterminate,none
*27/*153,,Indeterminate,none
*27/*154,,Indeterminate,none
*27/*155,,Indeterminate,none
*27/*156,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*157,,Indeterminate,none
*27/*158,,Indeterminate,none
*27/*159,,Indeterminate,none
*27/*160,,Indeterminate,none
*27/*161,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*27/*162,,Indeterminate,none
*27/*163,,Indeterminate,none
*27x2/*27x2,4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*28,,Indeterminate,none
*27x2/*28x2,,Indeterminate,none
*27x2/*29,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*29x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*30,,Indeterminate,none
*27x2/*31,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*32,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*33,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*34,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*35,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*35x2,4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*36,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*36+*10,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*36+*10x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*36x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*36x2+*10,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*36x2+*10x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*37,,Indeterminate,none
*27x2/*38,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*39,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*40,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*41,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*41x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*41x3,2.75,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*42,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*43,,Indeterminate,none
*27x2/*43x2,,Indeterminate,none
*27x2/*44,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*45,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*45x2,4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*46,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*47,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*48,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*49,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*50,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*51,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*52,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*53,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*54,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*55,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*56,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*58,,Indeterminate,none
*27x2/*59,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*60,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*61,,Indeterminate,none
*27x2/*62,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*63,,Indeterminate,none
*27x2/*64,,Indeterminate,none
*27x2/*65,,Indeterminate,none
*27x2/*68,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*68+*2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*27x2/*68+*4,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*69,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*70,,Indeterminate,none
*27x2/*71,,Indeterminate,none
*27x2/*72,,Indeterminate,none
*27x2/*73,,Indeterminate,none
*27x2/*74,,Indeterminate,none
*27x2/*75,,Indeterminate,none
*27x2/*81,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*82,,Indeterminate,none
*27x2/*83,,Indeterminate,none
*27x2/*84,,Indeterminate,none
*27x2/*85,,Indeterminate,none
*27x2/*86,,Indeterminate,none
*27x2/*87,,Indeterminate,none
*27x2/*88,,Indeterminate,none
*27x2/*89,,Indeterminate,none
*27x2/*90,,Indeterminate,none
*27x2/*91,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*92,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*93,,Indeterminate,none
*27x2/*94,,Indeterminate,none
*27x2/*95,,Indeterminate,none
*27x2/*96,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*97,,Indeterminate,none
*27x2/*98,,Indeterminate,none
*27x2/*99,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*100,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*101,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*102,,Indeterminate,none
*27x2/*103,,Indeterminate,none
*27x2/*104,,Indeterminate,none
*27x2/*105,,Indeterminate,none
*27x2/*106,,Indeterminate,none
*27x2/*107,,Indeterminate,none
*27x2/*108,,Indeterminate,none
*27x2/*109,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*110,,Indeterminate,none
*27x2/*111,,Indeterminate,none
*27x2/*112,,Indeterminate,none
*27x2/*113,,Indeterminate,none
*27x2/*114,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*115,,Indeterminate,none
*27x2/*116,,Indeterminate,none
*27x2/*117,,Indeterminate,none
*27x2/*118,,Indeterminate,none
*27x2/*119,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*120,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*121,,Indeterminate,none
*27x2/*122,,Indeterminate,none
*27x2/*123,,Indeterminate,none
*27x2/*124,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*125,,Indeterminate,none
*27x2/*126,,Indeterminate,none
*27x2/*127,,Indeterminate,none
*27x2/*128,,Indeterminate,none
*27x2/*129,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*130,,Indeterminate,none
*27x2/*131,,Indeterminate,none
*27x2/*132,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*133,,Indeterminate,none
*27x2/*134,,Indeterminate,none
*27x2/*135,,Indeterminate,none
*27x2/*136,,Indeterminate,none
*27x2/*137,,Indeterminate,none
*27x2/*138,,Indeterminate,none
*27x2/*139,,Indeterminate,none
*27x2/*140,,Indeterminate,none
*27x2/*141,,Indeterminate,none
*27x2/*142,,Indeterminate,none
*27x2/*143,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*144,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*145,,Indeterminate,none
*27x2/*146,,Indeterminate,none
*27x2/*146x2,,Indeterminate,none
*27x2/*147,,Indeterminate,none
*27x2/*148,,Indeterminate,none
*27x2/*149,,Indeterminate,none
*27x2/*152,,Indeterminate,none
*27x2/*153,,Indeterminate,none
*27x2/*154,,Indeterminate,none
*27x2/*155,,Indeterminate,none
*27x2/*156,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*157,,Indeterminate,none
*27x2/*158,,Indeterminate,none
*27x2/*159,,Indeterminate,none
*27x2/*160,,Indeterminate,none
*27x2/*161,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*27x2/*162,,Indeterminate,none
*27x2/*163,,Indeterminate,none
*28/*28,,Indeterminate,none
*28/*28x2,,Indeterminate,none
*28/*29,,Indeterminate,none
*28/*29x2,,Indeterminate,none
*28/*30,,Indeterminate,none
*28/*31,,Indeterminate,none
*28/*32,,Indeterminate,none
*28/*33,,Indeterminate,none
*28/*34,,Indeterminate,none
*28/*35,,Indeterminate,none
*28/*35x2,,Indeterminate,none
*28/*36,,Indeterminate,none
*28/*36+*10,,Indeterminate,none
*28/*36+*10x2,,Indeterminate,none
*28/*36x2,,Indeterminate,none
*28/*36x2+*10,,Indeterminate,none
*28/*36x2+*10x2,,Indeterminate,none
*28/*37,,Indeterminate,none
*28/*38,,Indeterminate,none
*28/*39,,Indeterminate,none
*28/*40,,Indeterminate,none
*28/*41,,Indeterminate,none
*28/*41x2,,Indeterminate,none
*28/*41x3,,Indeterminate,none
*28/*42,,Indeterminate,none
*28/*43,,Indeterminate,none
*28/*43x2,,Indeterminate,none
*28/*44,,Indeterminate,none
*28/*45,,Indeterminate,none
*28/*45x2,,Indeterminate,none
*28/*46,,Indeterminate,none
*28/*47,,Indeterminate,none
*28/*48,,Indeterminate,none
*28/*49,,Indeterminate,none
*28/*50,,Indeterminate,none
*28/*51,,Indeterminate,none
*28/*52,,Indeterminate,none
*28/*53,,Indeterminate,none
*28/*54,,Indeterminate,none
*28/*55,,Indeterminate,none
*28/*56,,Indeterminate,none
*28/*58,,Indeterminate,none
*28/*59,,Indeterminate,none
*28/*60,,Indeterminate,none
*28/*61,,Indeterminate,none
*28/*62,,Indeterminate,none
*28/*63,,Indeterminate,none
*28/*64,,Indeterminate,none
*28/*65,,Indeterminate,none
*28/*68,,Indeterminate,none
*28/*68+*2,,Indeterminate,none
*28/*68+*4,,Indeterminate,none
*28/*69,,Indeterminate,none
*28/*70,,Indeterminate,none
*28/*71,,Indeterminate,none
*28/*72,,Indeterminate,none
*28/*73,,Indeterminate,none
*28/*74,,Indeterminate,none
*28/*75,,Indeterminate,none
*28/*81,,Indeterminate,none
*28/*82,,Indeterminate,none
*28/*83,,Indeterminate,none
*28/*84,,Indeterminate,none
*28/*85,,Indeterminate,none
*28/*86,,Indeterminate,none
*28/*87,,Indeterminate,none
*28/*88,,Indeterminate,none
*28/*89,,Indeterminate,none
*28/*90,,Indeterminate,none
*28/*91,,Indeterminate,none
*28/*92,,Indeterminate,none
*28/*93,,Indeterminate,none
*28/*94,,Indeterminate,none
*28/*95,,Indeterminate,none
*28/*96,,Indeterminate,none
*28/*97,,Indeterminate,none
*28/*98,,Indeterminate,none
*28/*99,,Indeterminate,none
*28/*100,,Indeterminate,none
*28/*101,,Indeterminate,none
*28/*102,,Indeterminate,none
*28/*103,,Indeterminate,none
*28/*104,,Indeterminate,none
*28/*105,,Indeterminate,none
*28/*106,,Indeterminate,none
*28/*107,,Indeterminate,none
*28/*108,,Indeterminate,none
*28/*109,,Indeterminate,none
*28/*110,,Indeterminate,none
*28/*111,,Indeterminate,none
*28/*112,,Indeterminate,none
*28/*113,,Indeterminate,none
*28/*114,,Indeterminate,none
*28/*115,,Indeterminate,none
*28/*116,,Indeterminate,none
*28/*117,,Indeterminate,none
*28/*118,,Indeterminate,none
*28/*119,,Indeterminate,none
*28/*120,,Indeterminate,none
*28/*121,,Indeterminate,none
*28/*122,,Indeterminate,none
*28/*123,,Indeterminate,none
*28/*124,,Indeterminate,none
*28/*125,,Indeterminate,none
*28/*126,,Indeterminate,none
*28/*127,,Indeterminate,none
*28/*128,,Indeterminate,none
*28/*129,,Indeterminate,none
*28/*130,,Indeterminate,none
*28/*131,,Indeterminate,none
*28/*132,,Indeterminate,none
*28/*133,,Indeterminate,none
*28/*134,,Indeterminate,none
*28/*135,,Indeterminate,none
*28/*136,,Indeterminate,none
*28/*137,,Indeterminate,none
*28/*138,,Indeterminate,none
*28/*139,,Indeterminate,none
*28/*140,,Indeterminate,none
*28/*141,,Indeterminate,none
*28/*142,,Indeterminate,none
*28/*143,,Indeterminate,none
*28/*144,,Indeterminate,none
*28/*145,,Indeterminate,none
*28/*146,,Indeterminate,none
*28/*146x2,,Indeterminate,none
*28/*147,,Indeterminate,none
*28/*148,,Indeterminate,none
*28/*149,,Indeterminate,none
*28/*152,,Indeterminate,none
*28/*153,,Indeterminate,none
*28/*154,,Indeterminate,none
*28/*155,,Indeterminate,none
*28/*156,,Indeterminate,none
*28/*157,,Indeterminate,none
*28/*158,,Indeterminate,none
*28/*159,,Indeterminate,none
*28/*160,,Indeterminate,none
*28/*161,,Indeterminate,none
*28/*162,,Indeterminate,none
*28/*163,,Indeterminate,none
